id,title,area,trigger,level,toast,center,badge,until,group,cta,status,source_files,updated_at,notes
MSG-0001,Scan in progress,library-scan,A library or import-adjacent scan task is running,now,no,now,none,immediate,,,implemented,src/composables/use-scan-task-tracker.ts; src/composables/use-message-center-now.ts,2026-08-14,Live panel only; ScanProgressDock remains
MSG-0002,Import in progress,movie-import,An import.movies task is running,now,no,now,none,immediate,,,implemented,src/composables/use-scan-task-tracker.ts; src/composables/use-message-center-now.ts,2026-08-14,Show completed/total files when metadata exists
MSG-0003,Movie scrape in progress,metadata-scrape,A tracked scrape.movie task is running,now,no,now,none,immediate,,,implemented,src/composables/use-scan-task-tracker.ts; src/composables/use-message-center-now.ts,2026-08-14,Uses tracked activeTask even when dock is hidden; scrape queue listing waits on REQ-0023
MSG-0010,Library storage offline,library-storage,A configured library root is offline mismatched missing or denied,needs-you,yes,needs-you,needs-you,resolved,storage-offline,/settings?section=library,implemented,src/composables/use-library-storage-status-alerts.ts; src/components/jav-library/SettingsPage.vue; src/components/jav-library/MovieImportDialog.vue,2026-08-14,Library availability not settings ops; auto-clear when paths are online
MSG-0011,Movie import failed,movie-import,import.movies ends failed,needs-you,yes,needs-you,needs-you,session,,/settings?section=library,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,Dismiss suppresses for this session
MSG-0012,Movie import partial failure,movie-import,import.movies ends partial_failed,needs-you,yes,needs-you,needs-you,session,,/settings?section=library,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,
MSG-0013,Library scan failed,library-scan,scan.library ends failed,needs-you,yes,needs-you,needs-you,session,,/settings?section=library,implemented,src/composables/use-scan-task-tracker.ts; src/composables/use-library-watch-toasts.ts,2026-08-14,Whole-scan failure not a zero-change success
MSG-0020,Manual scan completed,library-scan,User-started scan.library completes,notify,yes,recent,none,open,,/settings?section=library,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,No red badge even when useful
MSG-0021,Movie scrape completed,metadata-scrape,Tracked scrape.movie completes,notify,yes,recent,none,open,,,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,Optional detail route is navigation not a todo
MSG-0022,Movie scrape failed,metadata-scrape,Tracked scrape.movie fails or is cancelled,notify,yes,recent,none,open,,,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,Single-title failure is notify; systemic scrape outage is future MSG
MSG-0023,Movie import completed,movie-import,import.movies completes with no remaining failures,notify,yes,recent,none,open,,/settings?section=library,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,
MSG-0024,App update available,app-update,GitHub release is newer than the installed package,notify,yes,recent,none,open,app-update,/settings?section=about,implemented,src/composables/use-app-update.ts; src/components/jav-library/settings/SettingsAppUpdateSection.vue,2026-08-14,Install stays in Settings About; sidebar New may remain
MSG-0025,Actor scrape completed,actor-scrape,Auto actor profile scrape fills missing avatar or summary,notify,yes,recent,none,open,,,implemented,src/components/jav-library/ActorProfileCard.vue,2026-08-14,
MSG-0026,Actor scrape failed,actor-scrape,Auto actor profile scrape fails,notify,yes,recent,none,open,,,implemented,src/components/jav-library/ActorProfileCard.vue,2026-08-14,Not needs-you; retry lives on the actor card
MSG-0027,Library watch scan digest,library-scan,fsnotify scan.library completes with imported or updated files,notify,yes,recent,none,open,library-watch-scan,,implemented,src/composables/use-library-watch-toasts.ts,2026-08-14,Same group collapses a burst into one recent row
MSG-0028,Library watch scrape digest,metadata-scrape,fsnotify-linked scrape.movie reaches a terminal status,notify,yes,recent,none,open,library-watch-scrape,,implemented,src/composables/use-library-watch-toasts.ts,2026-08-14,Burst of per-movie scrapes share one recent row
MSG-0040,Manual scan started,library-scan,User starts a library scan,silent,yes,none,none,immediate,,,implemented,src/composables/use-scan-task-tracker.ts,2026-08-14,Toast only; Now section covers in-progress
MSG-0041,Watch scan with no changes,library-scan,fsnotify scan finds zero imported or updated files,silent,yes,none,none,immediate,,,implemented,src/composables/use-library-watch-toasts.ts,2026-08-14,May already be suppressed near a changed scan
MSG-0042,Storage rebind succeeded,settings-ops,User rebinds a library path to the current volume,silent,yes,none,none,immediate,,,implemented,src/components/jav-library/SettingsPage.vue,2026-08-14,Settings ops confirmation stays on the page plus toast
MSG-0043,Actor scrape started,actor-scrape,Auto actor scrape begins,silent,yes,none,none,immediate,,,implemented,src/components/jav-library/ActorProfileCard.vue,2026-08-14,
MSG-0044,Settings operations family,settings-ops,Backup health-scan provider-ping proxy-test CSV-export and similar Settings actions finish,silent,yes,none,none,immediate,,,implemented,src/components/jav-library/settings,2026-08-14,Family row; add a dedicated MSG before promoting any ops result to notify
MSG-0045,Library mutation family,library,Favorite tag trash restore saved-view and similar in-page mutations finish,silent,yes,none,none,immediate,,,implemented,src/views/LibraryView.vue,2026-08-14,Page already shows the new state
MSG-0046,Player handoff family,playback,Native player launch HLS fallback or transient playback errors,silent,yes,none,none,immediate,,,implemented,src/components/jav-library/PlayerPage.vue,2026-08-14,Sustained cannot-play state would need its own MSG before needs-you
MSG-0047,ScanProgressDock live progress,library-scan,Tracked scan or import progress while a dock consumer is active,now,no,now,none,immediate,,,implemented,src/components/jav-library/ScanProgressDock.vue,2026-08-14,Dock stays; message center Now is the sentence form of the same live task
